,temp_deg,salinity
0,10.5,33.44
1,10.46,33.44
2,10.46,33.437
3,10.45,33.42
4,10.45,33.421
5,10.45,33.431
6,10.45,33.44
7,10.24,33.424
8,10.06,33.42
9,9.86,33.494
10,9.83,33.51
11,9.67,33.58
12,9.5,33.64
13,9.32,33.689
14,8.76,33.847
15,8.71,33.86
16,8.53,33.876
18,8.26,33.926
19,7.96,33.98
20,7.77,33.99
21,6.8,34.04
22,6.55,34.056
23,5.78,34.113
24,5.3,34.16
25,5.29,34.161
26,5.01,34.21
27,4.72,34.261
28,4.44,34.31
29,10.1,32.95
30,9.89,32.94
31,9.75,32.939
32,9.69,32.95
33,9.52,33.013
34,9.06,33.24
35,9.04,33.272
36,8.92,33.46
37,8.83,33.488
38,8.37,33.6
39,8.26,33.631
40,7.85,33.745
41,7.64,33.8
42,7.5,33.833
43,6.98,33.93
44,6.85,33.939
45,6.32,33.943
46,6.05,33.95
47,5.95,33.957
48,5.6,34.0
49,5.5,34.016
50,5.02,34.101
51,4.74,34.16
52,4.62,34.188
53,4.33,34.259
54,4.08,34.319
55,3.99,34.34
56,3.85,34.354
57,3.62,34.378
58,3.38,34.403
59,3.15,34.429
60,3.14,34.43
61,10.2,32.63
62,10.05,32.66
63,9.95,32.66
64,9.94,32.66
65,9.92,32.673
66,9.87,32.68
67,9.62,32.75
68,9.66,32.736
69,9.9,32.66
70,9.65,32.74
71,9.62,32.765
72,9.23,33.12
73,9.21,33.132
74,8.79,33.398
75,8.37,33.605
76,7.71,33.82
77,7.58,33.844
78,6.93,33.926
79,6.47,33.93
80,6.37,33.941
81,5.54,34.041
82,5.02,34.11
83,4.97,34.113
84,4.59,34.135
85,4.31,34.151
86,4.14,34.16
87,4.11,34.169
88,3.89,34.252
89,3.66,34.336
90,3.43,34.421
91,3.35,34.45
92,10.4,32.68
93,10.22,32.7
94,10.2,32.694
95,10.14,32.66
96,10.14,32.657
97,10.07,32.641
99,9.72,32.699
100,9.42,32.79
101,9.32,32.967
102,9.27,33.1
103,9.02,33.286
104,8.6,33.533
105,8.56,33.55
106,8.32,33.746
107,8.18,33.84
108,7.71,33.863
109,7.16,33.89
110,7.08,33.893
111,6.61,33.91
112,6.38,33.75
113,5.79,33.955
114,5.14,34.0
115,5.1,34.01
116,4.65,34.128
117,4.31,34.245
118,4.21,34.29
119,4.07,34.309
120,3.83,34.34
121,3.59,34.372
122,3.39,34.4
123,10.5,32.75
124,10.52,32.75
125,10.51,32.748
126,10.48,32.74
127,10.47,32.74
128,10.34,32.737
130,9.85,32.738
131,9.7,32.74
132,9.29,32.74
133,9.2,32.791
134,9.35,33.42
135,8.28,33.565
136,8.24,33.62
137,7.95,33.724
138,7.5,33.78
139,7.42,33.807
140,6.98,33.938
141,6.94,33.95
142,6.54,33.988
143,5.86,34.0
144,5.77,34.012
145,5.3,34.075
146,4.83,34.141
147,4.36,34.211
148,4.1,34.25
149,11.6,32.88
150,11.69,32.86
151,11.69,32.86
152,11.66,32.86
153,11.64,32.86
154,11.64,32.863
155,11.64,32.88
156,11.61,32.882
157,11.36,32.9
158,11.18,32.927
159,10.2,33.1
160,9.9,33.165
161,8.83,33.425
162,8.29,33.58
163,8.11,33.638
164,7.65,33.8
165,7.5,33.833
166,6.98,33.916
167,6.72,33.93
168,6.54,33.944
169,5.96,33.98
170,5.78,33.996
171,5.09,34.073
172,4.68,34.13
173,4.54,34.154
174,4.17,34.225
175,3.88,34.286
176,3.78,34.31
177,3.67,34.321
178,3.48,34.342
179,3.28,34.363
180,3.08,34.385
181,2.88,34.408
182,2.78,34.42
183,12.5,33.17
184,12.66,33.24
185,12.66,33.212
186,12.64,33.057
187,12.64,33.04
188,12.64,33.068
189,12.64,33.17
190,12.64,33.159
191,12.63,33.13
192,12.64,33.158
193,12.66,33.22
194,12.52,33.283
195,11.94,33.383
196,11.77,33.4
197,10.84,33.42
198,9.73,33.44
199,8.9,33.518
200,7.75,33.672
201,8.16,33.86
202,7.03,33.828
203,6.76,33.95
204,6.07,33.932
205,5.21,33.942
206,5.12,33.8
207,4.71,33.996
208,4.38,34.086
209,4.28,34.14
210,4.14,34.166
211,3.89,34.217
212,3.63,34.268
213,3.37,34.32
214,3.11,34.374
215,3.08,34.38
216,12.2,33.13
217,12.22,32.92
218,12.22,32.9
219,12.23,32.84
220,12.23,32.842
221,12.23,32.858
223,12.21,32.891
224,12.2,32.9
225,12.24,33.04
226,12.25,33.042
227,12.49,33.096
228,12.6,33.12
229,11.74,33.164
230,9.91,33.293
231,9.83,33.3
232,8.3,33.66
233,8.06,33.77
234,7.61,33.874
235,7.21,33.93
236,7.1,33.934
237,5.93,33.934
238,5.49,33.91
239,5.13,33.936
240,4.67,33.993
241,4.44,34.05
242,4.39,34.061
243,4.11,34.12
244,3.84,34.179
245,3.56,34.24
246,3.52,34.25
247,12.0,32.97
248,8.86,32.94
249,12.0,32.94
250,11.99,32.94
251,11.99,32.94
252,11.99,32.963
253,12.0,33.01
254,11.95,33.0
255,11.7,32.95
256,11.57,32.983
257,11.2,33.08
258,10.67,33.15
259,9.36,33.356
260,8.88,33.44
261,8.56,33.585
262,8.31,33.78
263,7.98,33.806
265,7.38,33.952
266,6.86,33.946
267,6.68,33.98
268,5.94,33.98
269,5.34,33.98
270,5.22,33.996
271,4.73,34.082
272,4.37,34.18
273,4.32,34.2
274,4.11,34.229
275,3.84,34.266
276,3.58,34.304
277,3.32,34.343
278,3.2,34.36
279,11.7,32.88
280,11.62,32.84
281,11.61,32.84
282,11.58,32.84
283,11.58,32.838
284,11.58,32.821
285,11.58,32.81
286,11.56,32.847
287,11.54,32.88
288,11.31,32.827
289,11.23,32.81
290,10.82,32.936
291,10.36,33.12
292,10.21,33.147
293,9.49,33.284
294,9.16,33.35
295,8.71,33.665
296,8.49,33.95
297,8.39,33.951
298,7.91,33.957
299,7.66,33.96
300,6.99,34.03
301,6.24,34.13
302,6.17,34.134
303,5.48,34.166
304,4.89,34.18
305,4.72,34.18
306,4.53,34.198
307,4.23,34.226
308,3.94,34.255
309,3.65,34.285
310,3.42,34.31
311,11.5,32.77
312,11.5,32.84
313,11.5,32.843
314,11.5,32.858
315,11.5,32.86
316,11.52,32.81
317,11.53,32.75
318,11.49,32.769
319,11.42,32.83
320,11.4,32.908
321,11.37,32.95
322,11.13,32.983
323,10.63,33.04
324,10.56,33.058
325,9.73,33.302
326,9.17,33.49
327,8.66,33.706
328,8.28,33.89
329,8.25,33.898
330,7.78,33.994
331,7.55,34.02
332,6.93,34.089
333,6.3,34.13
334,6.16,34.131
335,5.48,34.13
336,4.9,34.131
337,4.8,34.13
338,4.55,34.187
339,4.24,34.258
340,3.93,34.332
341,3.63,34.406
342,3.57,34.42
343,11.4,32.95
344,11.38,32.9
345,11.38,32.896
346,11.39,32.864
347,11.39,32.86
348,11.39,32.86
349,11.4,32.86
350,11.35,32.846
351,11.23,32.81
352,11.35,32.866
353,11.49,33.01
354,11.07,33.087
355,9.79,33.286
356,9.19,33.37
357,8.87,33.495
358,8.56,33.69
359,8.24,33.788
360,7.61,33.936
